title,Length,Uppercase(num),Exclamation/Question(num),SpellMiss(num),FirstPronouns(num),SecondPronouns(num),ThirdPronouns(num),BadWord(num),Emot(num),EmotMean(score),SentiPos(num),SentiNeg(num),Senti(score),FRE,SMOG,CLI,ARI,FOG,FKGL
D140,40,4,5,9,2,1,1,0,0,0,5,3,1.031798246,66.83,12.48683298,6.3909329,16.939,19,13.875
D141,54,1,5,14,2,1,2,2,0,0,8,3,2.052631579,76.825,3,3.57744513,21.53166667,21.6,15.95888889
D142,28,1,2,9,1,1,0,1,1,-0.375,4,3,0.924107143,99.85785714,3,3.721985929,9.055,11.2,6.287142857
D143,26,1,2,5,4,1,0,0,1,-0.375,6,1,1.416666667,79.57576923,10.74596669,5.223739,9.323076923,13.47692308,8.619230769
D144,13,0,1,4,0,1,0,0,0,0,2,1,0.075,115.5476923,3,2.276581769,1.373846154,5.2,0.372307692
D145,40,1,3,5,3,1,1,0,0,0,6,3,0.3875,79.52,10.74596669,4.6269776,15.526,18,12.105
D146,18,0,1,3,0,1,0,0,0,0,1,3,-1.526190476,122.765,3,0.521669611,1.961666667,7.2,0.607777778
D147,28,0,4,6,2,1,0,0,0,0,1,5,-1.352083333,93.815,8.477225575,2.252023179,7.8775,12.62857143,7.13
D148,26,2,4,10,1,1,2,0,0,0,1,3,-1.383333333,92.59115385,8.477225575,4.997590885,9.141923077,11.93846154,6.803846154
D149,15,0,4,4,0,1,0,0,0,0,3,0,0.625,95.73,8.477225575,4.962134533,4.282,8.666666667,3.633333333
D150,32,0,5,5,1,1,1,2,0,0,6,3,1.21875,81.82375,10.74596669,3.486581313,10.760625,15.3,9.79625
D151,27,1,3,6,4,1,0,0,0,0,1,0,0.1875,91.69666667,8.477225575,2.920646407,7.944444444,12.28148148,7.177037037
D152,34,4,5,9,2,1,2,0,0,0,4,3,-0.683333333,95.18970588,10.74596669,4.600207559,12.60911765,15.95294118,8.428823529
D153,27,0,2,6,2,1,1,1,0,0,3,0,1.896381579,94.83,3,4.227279963,8.991111111,10.8,6.74
D154,14,0,2,3,0,0,0,0,0,0,2,0,0.25,120.1107143,3,3.505276071,2.727857143,5.6,-0.015714286
D155,20,0,1,6,1,1,1,0,0,0,3,1,0.291666667,93.475,8.477225575,4.4752807,5.997,10,5.19
D156,25,1,5,8,1,1,1,0,0,0,2,2,0.09375,90.092,8.477225575,5.12394456,8.7796,11.6,6.904
D157,32,1,2,6,3,2,1,1,0,0,2,6,-0.3875,87.11125,8.477225575,3.854072,11.055,14.05,9.05875
D158,45,0,5,9,3,1,4,0,0,0,11,1,2.075068681,48.36,13.95445115,6.538451467,19.49133333,21.55555556,17.69333333
D159,43,2,6,13,2,1,0,0,1,-0.525,4,1,1.056107143,82.52488372,3,3.612005698,16.17162791,17.2,12.43116279
D160,26,1,5,5,1,1,0,0,0,0,4,0,1.017857143,102.3526923,3,2.736109731,7.330384615,10.4,5.442307692
D161,29,0,4,6,1,1,0,0,0,0,6,0,1.892857143,95.71724138,3,4.873567621,10.44827586,11.6,7.113103448
D162,12,0,1,4,0,1,0,0,0,0,0,0,0,95.955,8.477225575,3.783030583,2.2325,8.133333333,2.856666667
D163,21,0,3,6,0,1,0,0,0,0,1,1,0.025,96.89142857,3,2.949767048,5.218571429,8.4,4.961904762
D164,35,1,4,7,4,1,0,0,0,0,4,2,1.635416667,93.96142857,8.477225575,1.497385371,10.60371429,15.14285714,8.848571429
D165,18,0,1,2,0,1,1,0,0,0,2,0,0.032875,113.365,8.477225575,-0.458305556,1.176666667,9.422222222,1.918888889
D166,16,1,2,2,0,1,0,0,0,0,2,2,0.125,121.8575,3,1.45950675,1.8775,6.4,0.2375
D167,19,0,3,6,1,1,0,0,0,0,1,2,0,107.4026316,3,2.757250474,4.183157895,7.6,2.998947368
D168,27,0,3,4,2,1,0,0,0,0,6,1,2.585714286,76.03,13.95445115,7.711636111,11.78222222,16.72592593,9.362222222
D169,11,0,1,2,0,1,0,0,0,0,3,0,0.75,111.07,8.477225575,3.425251545,1.625454545,8.036363636,0.5
D170,26,1,6,5,2,2,0,0,0,0,4,0,1.234083333,86.08346154,8.477225575,3.414554077,7.873846154,11.93846154,7.711538462
D171,22,1,6,4,2,1,1,0,0,0,1,1,-0.125,88.36863636,10.74596669,6.106457682,8.195909091,12.43636364,6.399090909
D172,24,0,7,6,2,1,0,0,1,0.4375,1,1,-0.375,90.825,8.477225575,3.300877375,6.85875,11.26666667,6.553333333
D173,17,3,3,6,1,1,0,0,0,0,2,0,0.4375,119.9094118,8.477225575,2.173562294,2.862352941,9.152941176,0.757647059
D174,12,1,2,3,0,1,1,0,0,0,1,2,-0.0625,110.055,8.477225575,3.293043,1.84,8.133333333,0.89
D175,11,1,2,2,0,1,0,0,0,0,2,1,0.9375,118.7609091,8.477225575,0.752592,-0.515454545,8.036363636,-0.572727273
D176,22,0,1,9,0,1,0,0,0,0,2,4,-0.633333333,92.21409091,8.477225575,5.839191727,7.981818182,10.61818182,5.862727273
D177,12,0,1,2,0,1,0,0,0,0,2,0,0.6875,103.005,8.477225575,2.313067833,1.055,8.133333333,1.873333333
D178,12,0,2,3,0,1,0,0,0,0,2,1,0.4375,95.955,8.477225575,2.313067833,1.055,8.133333333,2.856666667
D179,11,0,1,2,0,1,0,0,0,0,2,2,-0.1875,118.7609091,8.477225575,3.425251545,1.625454545,8.036363636,-0.572727273
D180,22,2,5,7,0,1,1,0,1,-0.375,3,1,0.35625,107.5959091,10.74596669,3.701064091,6.269090909,12.43636364,3.717272727
D181,13,3,2,4,0,0,0,0,0,0,1,1,-0.0625,141.5784615,3,1.824285538,1.011538462,5.2,-3.258461538
D182,31,2,1,4,3,0,0,0,0,0,2,3,0.302631579,104.4151613,3,1.073993226,8.351935484,12.4,6.396774194
D183,22,3,4,7,1,2,1,0,0,0,4,0,0.770833333,111.4413636,3,2.899266227,5.626818182,8.8,3.180909091
D184,12,0,1,2,0,1,0,0,1,-0.125,3,1,0.844230769,117.105,3,1.82308025,0.6625,4.8,-0.093333333
D185,46,1,2,4,4,3,1,0,0,0,5,3,0.5,75.545,3,2.090307196,16.41673913,18.4,14.15
D186,14,0,7,5,0,0,0,0,2,0.0625,0,1,-0.125,138.2392857,3,-4.054532357,-3.327857143,5.6,-2.544285714
D187,21,0,2,2,2,2,0,0,0,0,3,0,0.5875,84.80571429,8.477225575,2.949767048,5.218571429,10.3047619,6.647619048
D188,13,0,2,2,0,1,0,0,0,0,2,0,0.825,122.0553846,3,1.371989308,0.649230769,5.2,-0.535384615
D189,20,0,3,8,0,1,0,0,0,0,1,0,0.75,85.015,10.74596669,5.6512509,6.939,12,6.37
D190,23,0,2,6,1,1,0,0,0,0,1,0,0.625,106.2465217,3,0.296699826,3.995217391,9.2,4.153913043
D191,30,2,6,11,0,1,0,1,0,0,4,0,0.75,74.865,8.477225575,8.496312633,13.823,13.33333333,10.27
D192,24,2,3,12,0,2,0,0,0,0,0,0,0,90.825,3,6.240802875,9.21375,9.6,6.553333333
D193,25,0,3,1,2,1,0,1,0,0,4,3,-0.446291667,93.476,8.477225575,1.36083992,5.7652,11.6,6.432
D194,24,0,3,7,0,1,0,0,0,0,2,1,0.166666667,80.25,12.48683298,5.995809083,9.0175,14.6,8.028333333
D195,20,0,1,6,1,1,0,0,0,0,3,0,0.87202381,114.625,3,3.2993105,5.055,8,2.24
D196,26,1,1,5,4,1,1,1,0,0,2,2,0.092261905,82.82961538,8.477225575,6.580627692,10.41,11.93846154,8.165384615
D197,18,0,3,5,0,1,0,0,0,0,2,1,0.4,118.065,3,2.154961556,3.27,7.2,1.263333333
D198,20,0,2,6,1,0,0,0,0,0,1,2,-0.609375,72.325,8.477225575,7.4152062,8.352,10,8.14
D199,12,0,2,2,0,1,0,0,0,0,1,1,0.125,117.105,3,4.273018167,2.625,4.8,-0.093333333
D200,22,1,3,5,1,0,0,0,0,0,4,0,1.645833333,107.5959091,3,1.028404545,4.128181818,8.8,3.717272727
D201,14,1,2,3,0,1,0,0,0,0,3,0,0.470375,114.0678571,3,4.765244143,3.737142857,5.6,0.827142857
D202,38,1,10,13,0,1,1,1,0,0,5,3,0.791666667,63.62815789,12.48683298,9.725179947,18.64105263,18.35789474,13.82473684
D203,44,1,2,7,0,5,1,0,0,0,5,2,0.35,58.34772727,12.48683298,4.774401205,17.59022727,20.32727273,16.05181818
D204,27,3,2,8,0,2,1,0,0,0,3,1,0.05,119.8966667,3,-0.128165222,5.502222222,10.8,3.243703704
D205,29,3,21,19,2,0,0,0,0,0,0,2,-0.25,75.29655172,12.48683298,9.131390759,13.85896552,15.73793103,9.96137931
D206,32,1,4,5,4,1,0,0,1,-0.375,2,2,0,79.18,3,3.119090625,10.46625,12.8,10.165
D207,23,0,3,4,0,1,0,0,0,0,3,2,0.083333333,73.14217391,10.74596669,4.642676652,7.476521739,12.67826087,8.771304348
D208,22,0,3,5,0,1,1,0,0,0,2,1,0.854714912,92.21409091,8.477225575,3.701064091,6.269090909,10.61818182,5.862727273
D209,14,0,2,3,0,1,0,0,0,0,0,1,-0.166666667,101.9821429,3,0.985339929,0.709285714,5.6,2.512857143
