Doc,Length,Uppercase(num),Exclamation/Question(num),SpellMiss(num),FirstPronouns(num),SecondPronouns(num),ThirdPronouns(num),BadWord(num),Emot(num),EmotMean(score),SentiPos(num),SentiNeg(num),Senti(score),FRE,SMOG,CLI,ARI,FOG,FKGL
D467,17,0,1,2,0,2,0,0,0,0,0,1,-0.175,109.9564706,3,1.135941529,2.031176471,6.8,2.145882353
D469,52,0,0,4,1,5,1,6,0,0,6,7,-0.6875,46.67807692,12.48683298,7.601910077,23.77230769,23.10769231,19.66692308
D470,59,0,0,8,1,7,1,3,0,0,12,5,1.03125,32.23813559,15.24744871,8.313364085,27.78813559,26.98983051,23.42
D473,23,0,1,0,0,2,0,0,0,0,5,0,0.75,91.53347826,8.477225575,-0.725882957,3.176086957,10.93913043,6.206086957
D476,12,0,1,5,1,0,0,1,0,0,0,3,-1.25,124.155,3,-1.606832833,-2.085,4.8,-1.076666667
D477,9,0,0,0,0,2,0,0,0,0,0,1,-0.78125,113.1,3,-4.061993667,-4.893333333,3.6,-0.28
D478,13,0,0,1,0,2,0,0,0,0,0,1,-0.416666667,109.04,3,-0.889491846,-1.162307692,5.2,1.28
D479,31,25,1,22,1,3,0,4,0,0,4,4,-0.208333333,167.1829032,3,5.057118097,11.54258065,12.4,-2.358064516
D485,7,3,0,3,0,1,0,0,0,0,0,0,0,187.6442857,3,-4.067962714,-5.145714286,2.8,-11.17428571
D487,33,1,6,3,0,5,1,0,0,0,3,0,0.282875,68.23090909,13.95445115,7.356547667,14.33818182,18.04848485,11.94060606
D488,8,0,0,2,0,2,0,1,1,0.4375,0,1,-0.25,135.265,3,-4.064605125,-5.06625,3.2,-3.62
D489,38,0,0,1,3,2,2,3,0,0,6,4,-1.598821429,83.665,3,0.441204684,11.20421053,15.2,11.03
D490,14,0,0,3,1,2,0,1,0,0,1,1,-0.319666667,83.85357143,10.74596669,6.025212214,4.746428571,11.31428571,5.041428571
D491,7,0,0,2,0,1,0,0,0,0,0,0,0,139.3014286,3,-5.747920143,-6.491428571,2.8,-4.431428571
D492,31,0,0,4,1,5,0,2,0,0,3,3,-0.2875,79.85387097,3,4.108755032,10.78290323,12.4,9.822580645
D493,18,0,2,3,1,3,0,0,0,0,1,1,-0.0625,108.665,3,1.828303167,3.008333333,7.2,2.574444444
D494,15,0,0,3,1,1,0,2,1,0.4375,0,0,0,135.21,3,-3.661646933,-2.626,6,-1.873333333
D495,30,1,0,2,0,4,1,1,1,0.4375,1,7,-2.407738095,74.865,8.477225575,5.9483772,11.782,13.33333333,10.27
D496,19,0,0,1,0,3,0,2,0,0,3,2,-0.25,89.59210526,8.477225575,1.828852947,3.439473684,9.705263158,5.483157895
D497,10,0,0,1,0,2,0,0,0,0,1,2,-0.416666667,95.165,3,4.759872,2.41,4,2.47
D498,42,0,2,4,2,6,0,5,0,0,5,3,-0.166666667,57.44785714,8.477225575,4.49420481,16.39142857,17.75238095,15.68047619
D499,12,0,0,2,1,2,0,0,0,0,1,2,-0.25,110.055,8.477225575,2.313067833,1.055,8.133333333,0.89
D500,10,0,0,2,0,2,0,0,0,0,0,2,-0.375,120.545,8.477225575,1.8199465,0.055,8,-1.07
